buyer_name,implentation_location_province,items_description,order_amount_zar
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,"Durban - Clairwood Hospital - Alterations and additions to wards C1, C2, FS3, MS6, MS2, MM1 and OT",232437919.91
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Scottburgh - G J Crookes Hospital - Alterations and additions to existing wards Block B,96982416.76
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,"Durban - Clairwood Hospital - Complete refurbishment of ward, including roof, windows, sewer and plumbing",80965509.26
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,"Richmond - Richmond Chest Hospital - Conversion of Ward A4, 81 and 85 into Isolation Wards",80000000.00
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Durban - Wentworth Hospital - Wentworth Hospital - Alterations and additions to 2 existing Creche buildings and Ward D2,79185198.37
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Durban - KZN EMS College - Refurbishment of Staff Accommodation Phase 1 - Emergency Covid-19 Quarantine Facility,68520872.15
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Ulundi - St Francis Hospital - Upgrade Existing TB Wards to Isolation Ward and Auxilarary building to Quarantine Ward,62357466.60
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,"Richmond - Richmond Chest Hospital - Conversion of Wards A2, A3 and Ward 83 into isolation wards.",61000000.00
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Durban - KZN Infrastructure Maintence Hub - Refurbishment of existing buildings to create Quarantine facility,53400000.00
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Vryheid - Siloah Lutheran Mission Hospital - Upgrade Existing Wards to 11 bed Isolation Ward and upgrade exisiting Nurses Home,52303720.40
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,"Jozini - Mosvold Hospital- Upgrade Existing TB Wards to Isolation Ward and upgrade Existing Auxilarary to Quarantine Ward,",46008786.18
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Fencing and walkways,
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Niemeyer Mem. Hospital: COVID-19: Alterations and additions to existing wards,41287290.75
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Scottburgh - G J Crookes Hospital - Alterations and additions to existing wards - Block A,36757495.57
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Jozini - Bethesda Hospital - Upgrade Existing TB Wards to Isolation Ward and upgrade Existing Nurses Accommodation,33559491.84
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,"to Quarantine Ward; Fencing, awning and walkways",
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Scottburgh - G J Crookes Hospital - Upgrade the roof and plumbing in maternity ward,30000000.00
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Dundee - Dundee Hospital - Alterations to two existing wards to create isolation and quarantine wards,28959989.00
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Richmond - Richmond Chest Hospital - Conversion of Ward 82 into an isolation ward.,25692563.33
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Pietermaritzburg - Royal Agricultural Show Grounds - Temporary conversion of 4 x Exhibition halls and provision,11000000.00
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,of temporary ablution blocks,
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Pietermaritzburg - Doris Goodwin Hospital,8581923.00
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Quarantine Site Accommodation,7436860.71
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Various Hospitals - Rebuild 10X400L Autoclaves For COVID-19 Sites In KZN Health Facilities,2092778.63
Kwa-Zulu Natal Provincial Government,Kwa-Zulu Natal,Richmond Chest Hospital: COVID-19 Electrical Upgrade,1392808.53
